date,volume,money,open,high,low,close,change,num,label
 92/06/30,9930000,367884760.0,37.1,37.4,36.92,37.08,0.12,2047,38.05
 92/07/01,14290000,536078350.0,37.09,38.1,37.09,38.05,0.97,2223,38.69
 92/07/02,16232000,625636880.0,38.17,38.82,38.1,38.69,0.64,1906,39.0
 92/07/03,16839000,661217150.0,40.6,40.6,38.81,39.0,0.31,2230,39.26
 92/07/04,12491000,487753800.0,39.1,39.26,38.75,39.26,0.26,1514,41.0
 92/07/07,19461000,784967940.0,39.6,41.0,39.6,41.0,1.74,1978,41.19
 92/07/08,13945000,575586450.0,42.0,42.0,40.7,41.19,0.19,2296,41.22
 92/07/09,8849000,363763270.0,41.3,41.3,40.81,41.22,0.03,1198,40.05
 92/07/10,8603000,348382480.0,41.2,41.2,40.05,40.05,-1.17,1491,39.91
 92/07/11,7019000,277417400.0,39.6,39.97,39.3,39.91,-0.14,1404,40.66
 92/07/14,10771000,436827930.0,39.95,41.0,39.92,40.66,0.75,1400,40.19
 92/07/15,9432000,383346040.0,40.7,40.86,40.19,40.19,-0.47,1101,40.85
 92/07/16,6798000,276893690.0,40.5,40.98,40.24,40.85,0.66,957,39.8
 92/07/17,9924000,399015080.0,40.5,40.65,39.8,39.8,-1.05,1187,39.92
 92/07/18,7220000,287078070.0,39.78,39.98,39.55,39.92,0.12,1032,39.4
 92/07/21,6715000,267154330.0,40.0,40.25,39.4,39.4,-0.52,993,39.98
 92/07/22,9169000,363490990.0,39.41,39.98,39.41,39.98,0.58,737,40.05
 92/07/23,8148000,328372300.0,40.3,40.5,40.0,40.05,0.07,848,41.23
 92/07/24,10984000,448189430.0,40.2,41.23,40.2,41.23,1.18,1279,41.23
 92/07/25,8433000,346491330.0,41.0,41.34,40.85,41.23,0.0,931,41.58
 92/07/28,6839000,285426040.0,41.9,41.94,41.57,41.58,0.35,966,41.02
 92/07/29,5680000,233010990.0,41.54,41.54,40.83,41.02,-0.56,864,40.6
 92/07/30,9300000,378924610.0,41.0,41.02,40.55,40.6,-0.42,869,40.87
 92/07/31,5120000,208233880.0,40.66,41.0,40.44,40.87,0.27,965,41.6
 92/08/01,3703000,153340310.0,41.28,41.6,41.05,41.6,0.73,844,41.4
 92/08/04,3708000,153495550.0,41.47,41.55,41.21,41.4,-0.2,344,40.5
 92/08/05,4929000,200981630.0,41.5,41.61,40.5,40.5,-0.9,659,40.23
 92/08/06,4646000,186678450.0,40.2,40.3,40.06,40.23,-0.27,663,40.7
 92/08/07,5574000,224384730.0,40.35,40.77,39.97,40.7,0.47,736,40.18
 92/08/08,4009000,162440190.0,40.7,40.7,40.18,40.18,-0.52,492,40.1
 92/08/11,2619000,104578500.0,39.9,40.18,39.68,40.1,-0.08,488,40.55
 92/08/12,4255000,172402720.0,40.34,40.65,40.34,40.55,0.45,429,42.45
 92/08/13,12452000,521544240.0,41.0,42.45,41.0,42.45,1.9,1640,42.3
 92/08/14,11489000,486593840.0,42.29,42.55,42.0,42.3,-0.15,896,42.72
 92/08/15,8705000,374241770.0,42.66,43.5,42.66,42.72,0.42,695,42.8
 92/08/18,4295000,183577210.0,43.0,43.1,42.52,42.8,0.08,494,43.0
 92/08/19,6286000,271811720.0,43.5,43.6,42.8,43.0,0.2,704,43.19
 92/08/20,4201000,181073180.0,42.8,43.28,42.8,43.19,0.19,437,44.0
 92/08/21,3518000,152951160.0,43.19,44.0,42.8,44.0,0.81,630,44.04
 92/08/22,6243000,276105870.0,44.0,44.59,43.95,44.04,0.04,752,44.35
 92/08/25,4937000,217636420.0,44.1,44.39,43.79,44.35,0.31,518,43.46
 92/08/26,8544000,372327820.0,44.25,44.25,43.4,43.46,-0.89,871,43.62
 92/08/27,6352000,277329490.0,43.28,43.97,43.28,43.62,0.16,659,43.56
 92/08/28,4754000,207762210.0,43.63,43.95,43.49,43.56,-0.06,453,44.92
 92/08/29,7666000,338875630.0,43.6,44.92,43.6,44.92,1.36,786,45.15
 92/09/01,6283000,283499760.0,46.4,46.4,44.79,45.15,0.23,804,45.52
 92/09/02,2163000,97711050.0,45.23,45.52,44.9,45.52,0.37,473,45.0
 92/09/03,4321000,196259650.0,45.9,45.9,45.0,45.0,-0.52,693,44.51
 92/09/04,3077000,137885310.0,45.1,45.1,44.51,44.51,-0.49,586,45.03
 92/09/05,3894000,175161720.0,45.0,45.25,44.7,45.03,0.52,582,45.95
 92/09/08,5233000,237436070.0,44.8,46.0,44.59,45.95,0.92,840,45.7
 92/09/09,7878000,364255510.0,46.5,46.59,45.7,45.7,-0.25,938,45.1
 92/09/10,4903000,221018610.0,45.5,45.6,44.8,45.1,-0.6,957,45.47
 92/09/12,2730000,123270760.0,45.04,45.47,44.8,45.47,0.37,473,45.0
 92/09/15,2946000,132703240.0,45.45,45.45,44.92,45.0,-0.47,427,45.45
 92/09/16,2267000,102586360.0,44.6,45.49,44.6,45.45,0.45,506,45.79
 92/09/17,5547000,254206540.0,45.83,45.99,45.7,45.79,0.34,745,45.68
 92/09/18,1464000,66772040.0,45.8,45.8,45.4,45.68,-0.11,450,45.8
 92/09/19,6913000,316947000.0,45.68,46.0,45.6,45.8,0.12,630,45.0
 92/09/22,5920000,267846020.0,45.5,45.5,45.0,45.0,-0.8,609,44.8
 92/09/23,6887000,308671570.0,44.7,45.0,44.7,44.8,-0.2,747,44.85
 92/09/24,3625000,162609340.0,44.98,45.0,44.71,44.85,0.05,415,44.85
 92/09/25,6414000,286867240.0,44.7,44.9,44.2,44.85,0.0,528,44.85
 92/09/26,3001000,134549030.0,44.85,44.9,44.7,44.85,0.0,323,44.71
 92/09/29,1128000,50426000.0,44.8,44.81,44.6,44.71,-0.14,205,44.7
 92/09/30,4797000,214452980.0,44.71,44.9,44.61,44.7,-0.01,412,44.16
 92/10/01,4135000,183356910.0,44.51,44.51,44.06,44.16,-0.54,526,45.05
 92/10/02,6668000,299251370.0,44.79,45.4,44.6,45.05,0.89,668,45.31
 92/10/03,4895000,221499440.0,45.2,45.41,45.07,45.31,0.26,471,46.25
 92/10/06,8892000,408854660.0,45.7,46.34,45.7,46.25,0.94,881,46.28
 92/10/07,7937000,367585510.0,46.4,46.4,46.18,46.28,0.03,489,46.0
 92/10/08,1810000,83401240.0,46.3,46.38,45.87,46.0,-0.28,312,46.14
 92/10/09,5914000,272524950.0,46.0,46.2,45.9,46.14,0.14,318,47.19
 92/10/13,8657000,405853420.0,46.4,47.19,46.4,47.19,1.05,608,47.01
 92/10/14,6643000,314441550.0,47.35,47.52,47.01,47.01,-0.18,514,47.05
 92/10/15,5439000,255722170.0,47.01,47.3,46.81,47.05,0.04,363,47.7
 92/10/16,10708000,508567060.0,47.05,47.75,46.98,47.7,0.65,569,47.79
 92/10/17,4645000,221818940.0,47.8,47.87,47.51,47.79,0.09,379,48.0
