date,volume,money,open,high,low,close,change,num
 97/12/01,24075245,781538104.0,32.0,32.9,31.75,32.5,0.37,5991
 97/12/02,19782320,609118972.0,30.6,31.09,30.5,30.6,-1.9,5841
 97/12/03,15595912,479987722.0,31.0,31.09,30.5,30.5,-0.1,4561
 97/12/04,19252466,585554788.0,30.8,30.92,29.95,30.01,-0.49,5094
 97/12/05,12093833,364572753.0,30.08,30.41,29.95,30.18,0.17,3162
 97/12/08,22998985,728043417.0,30.78,32.29,30.7,32.29,2.11,6601
 97/12/09,28539074,923864242.0,32.55,32.7,32.13,32.29,0.0,6308
 97/12/10,34139590,1138060026.0,32.29,34.19,32.26,34.19,1.9,8501
 97/12/11,25363285,857314614.0,34.05,34.05,33.51,33.8,-0.39,5247
 97/12/12,32433647,1056452516.0,33.33,33.5,31.53,32.0,-1.8,8016
 97/12/15,27730542,930162981.0,33.45,33.98,33.11,33.51,1.51,5964
 97/12/16,24874942,821674870.0,33.0,33.51,32.77,33.51,0.0,3677
 97/12/17,26898272,912777889.0,34.0,34.23,33.5,33.67,0.16,6404
 97/12/18,13708580,462564750.0,34.0,34.0,33.5,33.79,0.12,2814
 97/12/19,19703224,662606451.0,33.55,33.99,33.26,33.82,0.03,3872
 97/12/22,16924315,565451675.0,33.95,34.07,32.65,32.65,-1.17,4958
 97/12/23,19216606,611659116.0,32.6,32.65,31.3,31.75,-0.9,6262
 97/12/24,11335342,357249955.0,31.3,31.9,31.05,31.8,0.05,3308
 97/12/25,6534434,207304410.0,31.8,31.88,31.51,31.83,0.03,1738
 97/12/26,9612823,305861675.0,31.75,32.1,31.53,31.85,0.02,2485
 97/12/29,7118084,225274409.0,31.75,31.8,31.5,31.8,-0.05,2020
 97/12/30,17416921,571235528.0,32.1,33.29,32.04,33.16,1.36,4977
 97/12/31,11538329,381048172.0,33.3,33.33,32.7,32.87,-0.29,3362
