date,volume,money,open,high,low,close,change,num
 99/01/04,20083125,1132155005.0,56.45,56.65,56.05,56.5,0.05,1624
 99/01/05,16453854,932015376.0,56.8,56.9,56.15,56.5,0.0,1866
 99/01/06,19012172,1087143829.0,56.5,57.75,56.5,57.55,1.05,2958
 99/01/07,14110575,814344344.0,57.6,58.15,57.3,57.4,-0.15,1846
 99/01/08,11342752,651830965.0,57.3,57.75,57.05,57.75,0.35,1493
 99/01/11,11581081,670025579.0,57.1,58.05,57.1,57.9,0.15,1636
 99/01/12,7306217,420473484.0,57.55,57.85,57.25,57.6,-0.3,1329
 99/01/13,16686518,948986977.0,57.05,57.15,56.7,56.75,-0.85,2021
 99/01/14,9978365,570406499.0,56.8,57.6,56.8,57.45,0.7,1208
 99/01/15,8425543,485743844.0,57.35,57.95,57.35,57.8,0.35,1020
 99/01/18,5019674,288586818.0,57.45,57.7,57.3,57.5,-0.3,767
 99/01/19,6724054,382797005.0,57.5,57.7,56.5,56.75,-0.75,1461
 99/01/20,23397890,1318003114.0,56.8,56.95,56.1,56.4,-0.35,1627
 99/01/21,13862156,776395581.0,56.15,56.4,55.75,55.95,-0.45,1880
 99/01/22,29477562,1612081382.0,55.2,55.2,54.35,54.4,-1.55,3929
 99/01/25,12845252,695785374.0,53.95,54.45,53.8,54.2,-0.2,2147
 99/01/26,26395774,1416284559.0,54.15,54.55,52.75,52.95,-1.25,4558
 99/01/27,14855839,787198926.0,52.95,53.3,52.7,52.9,-0.05,2182
 99/01/28,12622891,676089714.0,53.1,54.2,53.1,54.05,1.15,1822
 99/01/29,13799786,727944433.0,52.95,53.25,52.2,53.0,-1.05,2804
