日期, 成交量,開盤,最高,最低,收盤,漲跌
2008/1/29,962.73,7593.71,7603.38,7447.44,7576.42,0
2008/1/30,1114.39,7604.29,7667.07,7507.52,7543.5,-32.92
2008/1/31,1245.48,7528.18,7579.43,7400.74,7521.13,-22.37
2008/2/1,1235.8,7613.58,7706.03,7583.65,7673.99,152.86
2008/2/12,1138.68,7568.3,7619.98,7530.37,7553.3,-120.69
2008/2/13,994.14,7644.8,7655.89,7533.6,7550.55,-2.75
2008/2/14,1149.87,7711.45,7865.28,7707,7865.28,314.73
2008/2/15,1083.34,7766.49,7888.15,7761.93,7876.37,11.09
2008/2/18,1032.8,7925.3,7988.02,7872.71,7890.9,14.53
2008/2/19,1214.24,7985.47,8024.41,7932.79,8024.41,133.51
2008/2/20,1140.83,8000.12,8040.83,7855.48,7894.47,-129.94
2008/2/21,1206.82,7982.35,8085.93,7972.13,8085.93,191.46
2008/2/22,1316.88,8013.35,8108.71,7986.97,8108.71,22.78
2008/2/25,1658.61,8228.92,8307.75,8228.92,8286.31,177.6
2008/2/26,1751.98,8379.55,8386.54,8258.87,8307.67,21.36
2008/2/27,1777.8,8401.12,8462.08,8362.94,8462.08,154.41
2008/2/29,1673.1,8367.45,8473.71,8367.45,8412.76,-49.32
2008/3/3,1350.82,8213.7,8265.85,8147.27,8262.87,-149.89
2008/3/4,1657.83,8279.02,8471.07,8279.02,8470.11,207.24
2008/3/5,1736.99,8493.97,8559.59,8439.35,8483.95,13.84
2008/3/6,1893.91,8559.08,8658.64,8526.37,8658.64,174.69
2008/3/7,1755.13,8537.24,8624.65,8513.24,8531.38,-127.26
2008/3/10,1462.48,8500.81,8507.29,8286.57,8299.37,-232.01
2008/3/11,1274.24,8206.74,8381.6,8206.74,8381.6,82.23
2008/3/12,1472.36,8577.85,8577.85,8424.1,8435.3,53.7
2008/3/13,1122.29,8408.46,8447.98,8198.77,8210.99,-224.31
2008/3/14,1096.43,8293.12,8315.23,8120.49,8161.39,-49.6
2008/3/17,1185.13,8041.31,8053.08,7900.8,8005.46,-155.93
2008/3/18,1025.83,8039.29,8082.57,7955.48,8057.82,52.36
2008/3/19,1229.57,8215.8,8233.47,8142.73,8179.35,121.53
2008/3/20,1461.27,8151.53,8343.38,8124.67,8337.62,158.27
